0 fu{0} src{29,14} dst{-1} IF{0,0} ID{1,0} IS{2,0} EX{3,0} WB{4,0} 
1 fu{2} src{29,-1} dst{14} IF{0,2} ID{1,1} IS{2,1} EX{3,1} WB{4,1} 
2 fu{2} src{29,-1} dst{15} IF{1,0} ID{2,2} IS{3,2} EX{4,2} WB{5,0} 
3 fu{2} src{30,-1} dst{19} IF{1,6} ID{2,3} IS{3,3} EX{4,3} WB{5,1} 
4 fu{2} src{14,-1} dst{14} IF{2,0} ID{3,4} IS{4,4} EX{5,2} WB{6,0} 
5 fu{2} src{15,-1} dst{16} IF{2,6} ID{3,5} IS{4,5} EX{5,3} WB{6,1} 
6 fu{0} src{29,14} dst{-1} IF{3,0} ID{4,6} IS{5,4} EX{6,2} WB{7,0} 
7 fu{0} src{19,-1} dst{3} IF{3,2} ID{4,7} IS{5,5} EX{6,3} WB{7,1} 
8 fu{1} src{0,0} dst{23} IF{3,4} ID{4,8} IS{5,6} EX{6,4} WB{7,2} 
9 fu{1} src{0,0} dst{18} IF{3,7} ID{4,9} IS{5,7} EX{6,5} WB{7,3} 
10 fu{0} src{3,0} dst{-1} IF{4,0} ID{5,8} IS{6,6} EX{7,4} WB{8,0} 
11 fu{0} src{0,-1} dst{2} IF{4,2} ID{5,9} IS{6,7} EX{7,5} WB{8,1} 
12 fu{0} src{3,2} dst{-1} IF{4,4} ID{5,10} IS{6,8} EX{7,6} WB{8,2} 
13 fu{0} src{19,-1} dst{3} IF{4,6} ID{5,11} IS{6,9} EX{7,7} WB{8,3} 
14 fu{0} src{3,-1} dst{2} IF{5,0} ID{6,10} IS{7,8} EX{8,4} WB{9,0} 
15 fu{0} src{2,0} dst{-1} IF{5,2} ID{6,11} IS{7,9} EX{8,5} WB{9,1} 
